Code,Area,Year,,Year_adj,Sex,Pupils,Attainment8,Progress8
E09000014,Haringey,2018/19,2018,2018,Boys,1212,44.1,0.02
E09000014,Haringey,2018/19,2018,2018,Girls ,1124,49.9,0.47
E09000015,Harrow,2018/19,2018,2018,All,2210,50.9,0.39
E09000015,Harrow,2018/19,2018,2018,Boys,1095,47.2,0.04
E09000015,Harrow,2018/19,2018,2018,Girls ,1115,54.7,0.71
E09000016,Havering,2018/19,2018,2018,All,2829,48.5,-0.05
E09000016,Havering,2018/19,2018,2018,Boys,1408,46,-0.29
E09000016,Havering,2018/19,2018,2018,Girls ,1421,51,0.2
E09000017,Hillingdon,2018/19,2018,2018,All,3203,47.7,0.11
E09000017,Hillingdon,2018/19,2018,2018,Boys,1679,44.2,-0.18
E09000017,Hillingdon,2018/19,2018,2018,Girls ,1524,51.5,0.42
E09000018,Hounslow,2018/19,2018,2018,All,2731,49.3,0.37
E09000018,Hounslow,2018/19,2018,2018,Boys,1396,46.5,0.12
E09000018,Hounslow,2018/19,2018,2018,Girls ,1335,52.2,0.62
E09000019,Islington,2018/19,2018,2018,All,1465,45.8,0.03
E09000019,Islington,2018/19,2018,2018,Boys,786,44.2,-0.14
E09000019,Islington,2018/19,2018,2018,Girls ,679,47.8,0.22
E09000020,Kensington and Chelsea,2018/19,2018,2018,All,867,53.6,0.32
E09000020,Kensington and Chelsea,2018/19,2018,2018,Boys,483,53.1,0.13
E09000020,Kensington and Chelsea,2018/19,2018,2018,Girls ,384,54.2,0.56
E09000021,Kingston upon Thames,2018/19,2018,2018,All,1550,56.9,0.46
E09000021,Kingston upon Thames,2018/19,2018,2018,Boys,742,53.8,0.21
E09000021,Kingston upon Thames,2018/19,2018,2018,Girls ,808,59.7,0.69
E09000022,Lambeth,2018/19,2018,2018,All,2189,44.1,-0.04
E09000022,Lambeth,2018/19,2018,2018,Boys,1099,41.3,-0.34
E09000022,Lambeth,2018/19,2018,2018,Girls ,1090,47,0.26
E09000023,Lewisham,2018/19,2018,2018,All,2187,43.7,-0.27
E09000023,Lewisham,2018/19,2018,2018,Boys,1123,40.4,-0.49
E09000023,Lewisham,2018/19,2018,2018,Girls ,1064,47.2,-0.03
E09000024,Merton,2018/19,2018,2018,All,1455,51.1,0.55
E09000024,Merton,2018/19,2018,2018,Boys,742,48.6,0.38
E09000024,Merton,2018/19,2018,2018,Girls ,713,53.7,0.72
E09000025,Newham,2018/19,2018,2018,All,3933,48.8,0.23
E09000025,Newham,2018/19,2018,2018,Boys,1970,46.6,0
E09000025,Newham,2018/19,2018,2018,Girls ,1963,51,0.44
E09000026,Redbridge,2018/19,2018,2018,All,3687,54,0.5
E09000026,Redbridge,2018/19,2018,2018,Boys,1889,51.3,0.26
E09000026,Redbridge,2018/19,2018,2018,Girls ,1798,56.9,0.74
E09000027,Richmond upon Thames,2018/19,2018,2018,All,1586,54.1,0.3
E09000027,Richmond upon Thames,2018/19,2018,2018,Boys,804,51.3,0.04
E09000027,Richmond upon Thames,2018/19,2018,2018,Girls ,782,56.9,0.56
E09000028,Southwark,2018/19,2018,2018,All,2509,49.5,0.25
E09000028,Southwark,2018/19,2018,2018,Boys,1206,47.1,0.04
E09000028,Southwark,2018/19,2018,2018,Girls ,1303,51.7,0.43
E09000029,Sutton,2018/19,2018,2018,All,2796,58.6,0.38
E09000029,Sutton,2018/19,2018,2018,Boys,1446,56.9,0.19
